anycompany_customer_id,city,country,price,product_name,date
0dfc,Manila,Philippines,499.99,Gaming Console,2024-04-22
74dc,Lagos,Nigeria,1299.99,Laptop,2024-09-15
02d9,Sao Paulo,Brazil,799.99,Smartphone,2024-06-18
d76d,New York,United States,1299.99,Laptop,2024-07-19
1b96,London,United Kingdom,499.99,Gaming Console,2024-09-19
12c7,Sao Paulo,Brazil,1499.99,Desktop Computer,2023-12-29
fd3a,New York,United States,1299.99,Laptop,2024-08-28
7f26,Manila,Philippines,249.99,Wireless Headphones,2024-01-29
4141,Lagos,Nigeria,349.99,Smartwatch,2024-09-12
f974,Tokyo,Japan,499.99,Gaming Console,2024-01-06
fda3,Tokyo,Japan,129.99,Portable Speaker,2024-09-30
ab43,Manila,Philippines,1299.99,Laptop,2024-03-20
b186,Rome,Italy,179.99,Wireless Earbuds,2024-04-03
4181,New York,United States,1299.99,Laptop,2024-09-07
a6d0,Tokyo,Japan,129.99,Portable Speaker,2024-07-30
c596,Manila,Philippines,799.99,Smartphone,2024-04-29
4625,Manila,Philippines,499.99,Gaming Console,2024-03-24
6c78,Sao Paulo,Brazil,179.99,Wireless Earbuds,2024-05-31
4f96,Rome,Italy,179.99,Wireless Earbuds,2024-04-02
b08d,Lagos,Nigeria,349.99,Smartwatch,2024-04-18
b99c,Manila,Philippines,1499.99,Desktop Computer,2024-01-13
cf4b,New York,United States,1499.99,Desktop Computer,2024-08-01
b1b6,Tokyo,Japan,499.99,Gaming Console,2024-04-17
4e94,New York,United States,179.99,Wireless Earbuds,2023-10-14
bfe1,Lagos,Nigeria,799.99,Smartphone,2024-07-02
b58e,Manila,Philippines,349.99,Smartwatch,2023-11-15
6cd8,Lagos,Nigeria,1299.99,Laptop,2024-07-19
0d46,Tokyo,Japan,1499.99,Desktop Computer,2024-04-08
b5ac,Lagos,Nigeria,349.99,Smartwatch,2024-07-06
3523,Rome,Italy,499.99,Gaming Console,2024-02-13
99c8,Manila,Philippines,499.99,Gaming Console,2024-04-03
7de1,London,United Kingdom,179.99,Wireless Earbuds,2024-04-14
0f10,Tokyo,Japan,349.99,Smartwatch,2024-03-23
a554,Tokyo,Japan,799.99,Smartphone,2024-08-08
dd4f,Rome,Italy,249.99,Wireless Headphones,2023-12-16
8954,Sao Paulo,Brazil,349.99,Smartwatch,2023-12-02
780b,London,United Kingdom,249.99,Wireless Headphones,2024-09-25
7e79,New York,United States,249.99,Wireless Headphones,2024-01-12
a7b8,Manila,Philippines,179.99,Wireless Earbuds,2023-11-29
3cab,Manila,Philippines,799.99,Smartphone,2024-01-08
f7eb,London,United Kingdom,799.99,Smartphone,2024-05-03
6f39,Lagos,Nigeria,799.99,Smartphone,2024-04-17
2ade,Tokyo,Japan,1499.99,Desktop Computer,2024-06-01
8565,Rome,Italy,249.99,Wireless Headphones,2024-02-16
1f1b,Sao Paulo,Brazil,249.99,Wireless Headphones,2023-11-15
0ef6,Tokyo,Japan,249.99,Wireless Headphones,2024-07-01
17c4,Rome,Italy,349.99,Smartwatch,2024-04-17
6553,London,United Kingdom,799.99,Smartphone,2024-01-01
5d22,Tokyo,Japan,179.99,Wireless Earbuds,2024-07-13
4ea6,London,United Kingdom,799.99,Smartphone,2024-08-02
dd4e,Lagos,Nigeria,249.99,Wireless Headphones,2024-05-15
dc06,Sao Paulo,Brazil,179.99,Wireless Earbuds,2024-03-18
1345,Lagos,Nigeria,799.99,Smartphone,2024-02-20
81cd,Lagos,Nigeria,349.99,Smartwatch,2024-05-06
598f,Lagos,Nigeria,1299.99,Laptop,2024-09-08
144d,Lagos,Nigeria,1499.99,Desktop Computer,2024-06-21
0f76,Lagos,Nigeria,799.99,Smartphone,2024-07-29
87ea,Sao Paulo,Brazil,179.99,Wireless Earbuds,2024-09-30
7c7f,New York,United States,349.99,Smartwatch,2024-07-25
3b09,Lagos,Nigeria,179.99,Wireless Earbuds,2023-10-15
50eb,Lagos,Nigeria,129.99,Portable Speaker,2024-06-29
d290,New York,United States,179.99,Wireless Earbuds,2024-09-27
bca8,Sao Paulo,Brazil,249.99,Wireless Headphones,2024-02-13
c656,Tokyo,Japan,1499.99,Desktop Computer,2024-05-24
7cc0,London,United Kingdom,129.99,Portable Speaker,2024-05-10
3469,Sao Paulo,Brazil,499.99,Gaming Console,2024-03-11
1dd8,Tokyo,Japan,499.99,Gaming Console,2024-03-19
7529,London,United Kingdom,1299.99,Laptop,2024-07-22
d920,Rome,Italy,499.99,Gaming Console,2024-09-10
ab4c,London,United Kingdom,499.99,Gaming Console,2024-01-05
5b2b,Sao Paulo,Brazil,1299.99,Laptop,2024-09-29
3032,Rome,Italy,349.99,Smartwatch,2024-02-06
681c,London,United Kingdom,499.99,Gaming Console,2024-03-19
cd7d,London,United Kingdom,1499.99,Desktop Computer,2024-09-22
7732,Tokyo,Japan,1299.99,Laptop,2024-04-26
47d5,Manila,Philippines,499.99,Gaming Console,2023-10-09
5b6b,London,United Kingdom,129.99,Portable Speaker,2024-05-10
231a,Tokyo,Japan,1299.99,Laptop,2024-09-17
df47,Rome,Italy,349.99,Smartwatch,2023-11-05
3df4,London,United Kingdom,1499.99,Desktop Computer,2024-04-10
1c09,Tokyo,Japan,179.99,Wireless Earbuds,2024-06-19
e6d8,Tokyo,Japan,249.99,Wireless Headphones,2024-03-24
2b46,Manila,Philippines,1499.99,Desktop Computer,2024-09-11
4211,Sao Paulo,Brazil,1299.99,Laptop,2024-02-06
a5dd,Tokyo,Japan,499.99,Gaming Console,2024-06-14
0402,Tokyo,Japan,349.99,Smartwatch,2024-04-09
388c,Lagos,Nigeria,1499.99,Desktop Computer,2023-12-27
5ba0,Rome,Italy,129.99,Portable Speaker,2024-09-11
15b6,Lagos,Nigeria,1499.99,Desktop Computer,2024-01-07
1d7a,London,United Kingdom,129.99,Portable Speaker,2024-01-05
713c,New York,United States,349.99,Smartwatch,2024-01-11
86a2,Manila,Philippines,349.99,Smartwatch,2024-08-21
ff40,Sao Paulo,Brazil,249.99,Wireless Headphones,2023-10-12
7624,Lagos,Nigeria,129.99,Portable Speaker,2024-05-02
94f1,Lagos,Nigeria,1499.99,Desktop Computer,2024-03-14
8e6c,Manila,Philippines,499.99,Gaming Console,2024-04-02
36ba,Rome,Italy,249.99,Wireless Headphones,2024-08-31
4661,Tokyo,Japan,129.99,Portable Speaker,2024-08-18
f8be,London,United Kingdom,1299.99,Laptop,2023-12-25
53bb,Tokyo,Japan,499.99,Gaming Console,2024-02-27
